	sc_id	spot	exp_cor_before	interface_cor_before	mix_cor_before	exp_cor_after	interface_cor_after	mix_cor_after	celltype	UMAP1	UMAP2	st_x	st_y
14	cell_930	spot_111	0.903281887421269	0.5695015277209723	0.8699038514512394	0.9375314081954428	0.6125895481977333	0.9050372221956718	ExcitatoryL2and3	-0.22936624	2.8985116	4125	12375
15	cell_897	spot_111	0.903281887421269	0.5695015277209723	0.8699038514512394	0.9375314081954428	0.6125895481977333	0.9050372221956718	ExcitatoryL2and3	-0.22598788	2.7839034	4125	12375
16	cell_840	spot_111	0.903281887421269	0.5695015277209723	0.8699038514512394	0.9375314081954428	0.6125895481977333	0.9050372221956718	ExcitatoryL2and3	-0.3516826	2.7767987	4125	12375
17	cell_1378	spot_159	0.9085488299083397	0.5811594893529674	0.8758098958528024	0.9850456631253839	0.7249244253963759	0.9590335393524831	Endo	6.02615	0.46646857	6375	5625
18	cell_1286	spot_159	0.9085488299083397	0.5811594893529674	0.8758098958528024	0.9850456631253839	0.7249244253963759	0.9590335393524831	ExcitatoryL5	5.977101	0.42465618	6375	5625
19	cell_1333	spot_159	0.9085488299083397	0.5811594893529674	0.8758098958528024	0.9850456631253839	0.7249244253963759	0.9590335393524831	ExcitatoryL5	6.100181	0.40807715	6375	5625
20	cell_1292	spot_159	0.9085488299083397	0.5811594893529674	0.8758098958528024	0.9850456631253839	0.7249244253963759	0.9590335393524831	Astro	6.0139065	0.36633787	6375	5625
21	cell_352	spot_159	0.9085488299083397	0.5811594893529674	0.8758098958528024	0.9850456631253839	0.7249244253963759	0.9590335393524831	Astro	4.889356	0.58680177	6375	5625
22	cell_1392	spot_159	0.9085488299083397	0.5811594893529674	0.8758098958528024	0.9850456631253839	0.7249244253963759	0.9590335393524831	Astro	5.892158	0.43055883	6375	5625
23	cell_1303	spot_159	0.9085488299083397	0.5811594893529674	0.8758098958528024	0.9850456631253839	0.7249244253963759	0.9590335393524831	Astro	6.047669	0.35225835	6375	5625
24	cell_1382	spot_159	0.9085488299083397	0.5811594893529674	0.8758098958528024	0.9850456631253839	0.7249244253963759	0.9590335393524831	Astro	5.948078	0.42279536	6375	5625
25	cell_853	spot_55	0.9185510909127319	0.3899459103389242	0.8656905728553512	0.9289369785649015	0.5400547200020582	0.8900487527086172	Npy	-0.6962735	4.260764	1875	13125
26	cell_999	spot_55	0.9185510909127319	0.3899459103389242	0.8656905728553512	0.9289369785649015	0.5400547200020582	0.8900487527086172	Npy	-0.7453205	4.4898562	1875	13125
27	cell_490	spot_55	0.9185510909127319	0.3899459103389242	0.8656905728553512	0.9289369785649015	0.5400547200020582	0.8900487527086172	Npy	-0.673316	4.293982	1875	13125
28	cell_433	spot_55	0.9185510909127319	0.3899459103389242	0.8656905728553512	0.9289369785649015	0.5400547200020582	0.8900487527086172	Vip	-0.6947754	4.3963346	1875	13125
29	cell_357	spot_55	0.9185510909127319	0.3899459103389242	0.8656905728553512	0.9289369785649015	0.5400547200020582	0.8900487527086172	Vip	-0.6816228	4.348564	1875	13125
30	cell_975	spot_55	0.9185510909127319	0.3899459103389242	0.8656905728553512	0.9289369785649015	0.5400547200020582	0.8900487527086172	Other	-0.725399	4.434579	1875	13125
31	cell_1412	spot_55	0.9185510909127319	0.3899459103389242	0.8656905728553512	0.9289369785649015	0.5400547200020582	0.8900487527086172	Other	-0.70867383	4.333423	1875	13125
32	cell_964	spot_55	0.9185510909127319	0.3899459103389242	0.8656905728553512	0.9289369785649015	0.5400547200020582	0.8900487527086172	Astro	-0.5391709	4.5159454	1875	13125
33	cell_731	spot_55	0.9185510909127319	0.3899459103389242	0.8656905728553512	0.9289369785649015	0.5400547200020582	0.8900487527086172	Astro	-0.36984846	4.293663	1875	13125
34	cell_456	spot_41	0.926959690201172	0.9391724956654676	0.9281809707476015	0.9315844580618453	0.9804148245358705	0.9364674947092478	Endo	8.776734	3.006076	1875	2625
35	cell_981	spot_41	0.926959690201172	0.9391724956654676	0.9281809707476015	0.9315844580618453	0.9804148245358705	0.9364674947092478	Olig	8.6541815	3.0678115	1875	2625
36	cell_133	spot_41	0.926959690201172	0.9391724956654676	0.9281809707476015	0.9315844580618453	0.9804148245358705	0.9364674947092478	Olig	8.546029	3.1868718	1875	2625
37	cell_243	spot_41	0.926959690201172	0.9391724956654676	0.9281809707476015	0.9315844580618453	0.9804148245358705	0.9364674947092478	Olig	8.536367	3.0739677	1875	2625
38	cell_894	spot_41	0.926959690201172	0.9391724956654676	0.9281809707476015	0.9315844580618453	0.9804148245358705	0.9364674947092478	Olig	8.5111475	2.9840915	1875	2625
39	cell_482	spot_41	0.926959690201172	0.9391724956654676	0.9281809707476015	0.9315844580618453	0.9804148245358705	0.9364674947092478	Olig	8.690876	3.1256526	1875	2625
40	cell_220	spot_41	0.926959690201172	0.9391724956654676	0.9281809707476015	0.9315844580618453	0.9804148245358705	0.9364674947092478	Astro	8.620624	3.0237617	1875	2625
41	cell_827	spot_41	0.926959690201172	0.9391724956654676	0.9281809707476015	0.9315844580618453	0.9804148245358705	0.9364674947092478	Astro	8.780094	3.067419	1875	2625
42	cell_887	spot_100	0.884066967332023	0.8492472484903892	0.8805849954478596	0.9588133990400393	0.93077732652924	0.9560097917889593	ExcitatoryL6	7.019706	1.9716815	4125	4125
43	cell_295	spot_100	0.884066967332023	0.8492472484903892	0.8805849954478596	0.9588133990400393	0.93077732652924	0.9560097917889593	ExcitatoryL6	6.987009	2.0318117	4125	4125
44	cell_712	spot_100	0.884066967332023	0.8492472484903892	0.8805849954478596	0.9588133990400393	0.93077732652924	0.9560097917889593	ExcitatoryL6	6.859268	1.6176777	4125	4125
45	cell_836	spot_100	0.884066967332023	0.8492472484903892	0.8805849954478596	0.9588133990400393	0.93077732652924	0.9560097917889593	ExcitatoryL6	7.5748034	1.7889718	4125	4125
46	cell_1117	spot_100	0.884066967332023	0.8492472484903892	0.8805849954478596	0.9588133990400393	0.93077732652924	0.9560097917889593	ExcitatoryL6	7.3783045	1.7036966	4125	4125
47	cell_1138	spot_100	0.884066967332023	0.8492472484903892	0.8805849954478596	0.9588133990400393	0.93077732652924	0.9560097917889593	ExcitatoryL6	7.327774	1.7864196	4125	4125
48	cell_1162	spot_100	0.884066967332023	0.8492472484903892	0.8805849954478596	0.9588133990400393	0.93077732652924	0.9560097917889593	ExcitatoryL6	7.56695	1.8968327	4125	4125
49	cell_817	spot_100	0.884066967332023	0.8492472484903892	0.8805849954478596	0.9588133990400393	0.93077732652924	0.9560097917889593	ExcitatoryL6	7.5863347	1.8644707	4125	4125
50	cell_929	spot_100	0.884066967332023	0.8492472484903892	0.8805849954478596	0.9588133990400393	0.93077732652924	0.9560097917889593	ExcitatoryL6	7.011316	1.8406315	4125	4125
51	cell_769	spot_100	0.884066967332023	0.8492472484903892	0.8805849954478596	0.9588133990400393	0.93077732652924	0.9560097917889593	Pvalb	6.8626127	2.104669	4125	4125
52	cell_1163	spot_100	0.884066967332023	0.8492472484903892	0.8805849954478596	0.9588133990400393	0.93077732652924	0.9560097917889593	Olig	7.0892563	1.6136591	4125	4125
53	cell_1464	spot_100	0.884066967332023	0.8492472484903892	0.8805849954478596	0.9588133990400393	0.93077732652924	0.9560097917889593	Astro	6.920892	2.0244858	4125	4125
54	cell_241	spot_100	0.884066967332023	0.8492472484903892	0.8805849954478596	0.9588133990400393	0.93077732652924	0.9560097917889593	Astro	7.56032	1.7697022	4125	4125
55	cell_1069	spot_77	0.925020576640812	0.5299734351573567	0.8855158624924666	0.9255887267051639	0.6816823061741507	0.9011980846520626	ExcitatoryL6	9.442669	1.5727962	3375	1125
56	cell_557	spot_77	0.925020576640812	0.5299734351573567	0.8855158624924666	0.9255887267051639	0.6816823061741507	0.9011980846520626	ExcitatoryL6	9.309735	1.4043777	3375	1125
57	cell_704	spot_77	0.925020576640812	0.5299734351573567	0.8855158624924666	0.9255887267051639	0.6816823061741507	0.9011980846520626	ExcitatoryL5	9.37206	1.3703406	3375	1125
58	cell_282	spot_77	0.925020576640812	0.5299734351573567	0.8855158624924666	0.9255887267051639	0.6816823061741507	0.9011980846520626	Astro	9.278784	1.5567553	3375	1125
59	cell_845	spot_77	0.925020576640812	0.5299734351573567	0.8855158624924666	0.9255887267051639	0.6816823061741507	0.9011980846520626	Astro	9.511132	1.5613961	3375	1125
60	cell_488	spot_77	0.925020576640812	0.5299734351573567	0.8855158624924666	0.9255887267051639	0.6816823061741507	0.9011980846520626	Astro	9.451361	1.5488943	3375	1125
61	cell_730	spot_77	0.925020576640812	0.5299734351573567	0.8855158624924666	0.9255887267051639	0.6816823061741507	0.9011980846520626	Astro	9.476377	1.5215495	3375	1125
62	cell_934	spot_77	0.925020576640812	0.5299734351573567	0.8855158624924666	0.9255887267051639	0.6816823061741507	0.9011980846520626	Astro	9.385594	1.6786845	3375	1125
63	cell_1335	spot_163	0.9201248143588672	0.616196960449834	0.8897320289679639	0.938702140039574	0.6998937250658007	0.9148212985421967	ExcitatoryL4	2.7236335	0.9639532	6375	8625
64	cell_175	spot_163	0.9201248143588672	0.616196960449834	0.8897320289679639	0.938702140039574	0.6998937250658007	0.9148212985421967	ExcitatoryL4	2.85422	1.003799	6375	8625
65	cell_1079	spot_163	0.9201248143588672	0.616196960449834	0.8897320289679639	0.938702140039574	0.6998937250658007	0.9148212985421967	ExcitatoryL4	2.7956002	0.9720203	6375	8625
66	cell_1033	spot_163	0.9201248143588672	0.616196960449834	0.8897320289679639	0.938702140039574	0.6998937250658007	0.9148212985421967	ExcitatoryL4	2.760496	1.1244236	6375	8625
67	cell_1396	spot_163	0.9201248143588672	0.616196960449834	0.8897320289679639	0.938702140039574	0.6998937250658007	0.9148212985421967	ExcitatoryL4	3.0038278	0.97574896	6375	8625
68	cell_1312	spot_163	0.9201248143588672	0.616196960449834	0.8897320289679639	0.938702140039574	0.6998937250658007	0.9148212985421967	ExcitatoryL4	2.5683553	1.1267483	6375	8625
69	cell_846	spot_163	0.9201248143588672	0.616196960449834	0.8897320289679639	0.938702140039574	0.6998937250658007	0.9148212985421967	Olig	2.4735026	1.1803755	6375	8625
70	cell_1208	spot_163	0.9201248143588672	0.616196960449834	0.8897320289679639	0.938702140039574	0.6998937250658007	0.9148212985421967	Olig	2.8455844	0.99262184	6375	8625
71	cell_1326	spot_163	0.9201248143588672	0.616196960449834	0.8897320289679639	0.938702140039574	0.6998937250658007	0.9148212985421967	ExcitatoryL2and3	2.9303343	1.0931927	6375	8625
72	cell_1048	spot_163	0.9201248143588672	0.616196960449834	0.8897320289679639	0.938702140039574	0.6998937250658007	0.9148212985421967	ExcitatoryL2and3	3.120126	1.0604198	6375	8625
73	cell_1054	spot_163	0.9201248143588672	0.616196960449834	0.8897320289679639	0.938702140039574	0.6998937250658007	0.9148212985421967	Sst	2.6796806	1.1314012	6375	8625
74	cell_189	spot_163	0.9201248143588672	0.616196960449834	0.8897320289679639	0.938702140039574	0.6998937250658007	0.9148212985421967	Astro	2.9620476	1.0340208	6375	8625
75	cell_558	spot_163	0.9201248143588672	0.616196960449834	0.8897320289679639	0.938702140039574	0.6998937250658007	0.9148212985421967	Astro	2.6606183	1.1829811	6375	8625
76	cell_316	spot_98	0.7960978743100637	0.9185011584963753	0.8083382027286949	0.8545319501853698	0.93602016568085	0.8626807717349178	ExcitatoryL6	8.324274	1.6320248	4125	2625
77	cell_615	spot_98	0.7960978743100637	0.9185011584963753	0.8083382027286949	0.8545319501853698	0.93602016568085	0.8626807717349178	ExcitatoryL6	8.6794405	1.4518096	4125	2625
78	cell_883	spot_98	0.7960978743100637	0.9185011584963753	0.8083382027286949	0.8545319501853698	0.93602016568085	0.8626807717349178	ExcitatoryL6	8.466394	1.6575555	4125	2625
79	cell_53	spot_98	0.7960978743100637	0.9185011584963753	0.8083382027286949	0.8545319501853698	0.93602016568085	0.8626807717349178	Micro	8.481412	1.3822699	4125	2625
80	cell_43	spot_98	0.7960978743100637	0.9185011584963753	0.8083382027286949	0.8545319501853698	0.93602016568085	0.8626807717349178	Olig	8.378051	1.5394369	4125	2625
81	cell_480	spot_98	0.7960978743100637	0.9185011584963753	0.8083382027286949	0.8545319501853698	0.93602016568085	0.8626807717349178	Olig	8.634599	1.6650665	4125	2625
82	cell_852	spot_98	0.7960978743100637	0.9185011584963753	0.8083382027286949	0.8545319501853698	0.93602016568085	0.8626807717349178	Olig	8.505472	1.520776	4125	2625
83	cell_608	spot_98	0.7960978743100637	0.9185011584963753	0.8083382027286949	0.8545319501853698	0.93602016568085	0.8626807717349178	Olig	8.402492	1.4835345	4125	2625
84	cell_393	spot_119	0.8911840202419883	0.6678368381583516	0.8688493020336245	0.9665390942208911	0.8199289712249661	0.9518780819212986	ExcitatoryL6	7.017659	1.199601	4875	4125
85	cell_768	spot_119	0.8911840202419883	0.6678368381583516	0.8688493020336245	0.9665390942208911	0.8199289712249661	0.9518780819212986	ExcitatoryL6	7.169614	1.1987065	4875	4125
86	cell_395	spot_119	0.8911840202419883	0.6678368381583516	0.8688493020336245	0.9665390942208911	0.8199289712249661	0.9518780819212986	ExcitatoryL6	7.2539735	1.1135632	4875	4125
87	cell_423	spot_119	0.8911840202419883	0.6678368381583516	0.8688493020336245	0.9665390942208911	0.8199289712249661	0.9518780819212986	ExcitatoryL6	7.151786	1.4318135	4875	4125
88	cell_410	spot_119	0.8911840202419883	0.6678368381583516	0.8688493020336245	0.9665390942208911	0.8199289712249661	0.9518780819212986	ExcitatoryL6	7.1677284	1.2809143	4875	4125
89	cell_190	spot_119	0.8911840202419883	0.6678368381583516	0.8688493020336245	0.9665390942208911	0.8199289712249661	0.9518780819212986	ExcitatoryL6	7.1526155	0.7736645	4875	4125
90	cell_1077	spot_119	0.8911840202419883	0.6678368381583516	0.8688493020336245	0.9665390942208911	0.8199289712249661	0.9518780819212986	ExcitatoryL6	7.3490176	1.2699149	4875	4125
91	cell_1075	spot_119	0.8911840202419883	0.6678368381583516	0.8688493020336245	0.9665390942208911	0.8199289712249661	0.9518780819212986	ExcitatoryL6	7.0676208	1.0189987	4875	4125
92	cell_984	spot_119	0.8911840202419883	0.6678368381583516	0.8688493020336245	0.9665390942208911	0.8199289712249661	0.9518780819212986	ExcitatoryL6	7.148264	1.4357425	4875	4125
93	cell_1036	spot_119	0.8911840202419883	0.6678368381583516	0.8688493020336245	0.9665390942208911	0.8199289712249661	0.9518780819212986	ExcitatoryL6	7.405155	1.4840648	4875	4125
94	cell_1031	spot_119	0.8911840202419883	0.6678368381583516	0.8688493020336245	0.9665390942208911	0.8199289712249661	0.9518780819212986	Astro	7.3058825	1.2876949	4875	4125
95	cell_1195	spot_50	0.8616818968261185	0.544913349861218	0.8300050421296284	0.9381940923495727	0.6592646634889933	0.9103011494635148	Pvalb	2.5482476	4.1945186	1875	9375
96	cell_937	spot_50	0.8616818968261185	0.544913349861218	0.8300050421296284	0.9381940923495727	0.6592646634889933	0.9103011494635148	ExcitatoryL4	2.3983676	4.246485	1875	9375
97	cell_837	spot_50	0.8616818968261185	0.544913349861218	0.8300050421296284	0.9381940923495727	0.6592646634889933	0.9103011494635148	ExcitatoryL4	2.1934853	4.3388834	1875	9375
98	cell_766	spot_50	0.8616818968261185	0.544913349861218	0.8300050421296284	0.9381940923495727	0.6592646634889933	0.9103011494635148	ExcitatoryL4	2.5505953	4.4636016	1875	9375
99	cell_379	spot_50	0.8616818968261185	0.544913349861218	0.8300050421296284	0.9381940923495727	0.6592646634889933	0.9103011494635148	ExcitatoryL4	2.19231	4.3077307	1875	9375
100	cell_110	spot_50	0.8616818968261185	0.544913349861218	0.8300050421296284	0.9381940923495727	0.6592646634889933	0.9103011494635148	ExcitatoryL4	2.6181054	4.2983294	1875	9375
101	cell_492	spot_50	0.8616818968261185	0.544913349861218	0.8300050421296284	0.9381940923495727	0.6592646634889933	0.9103011494635148	ExcitatoryL4	2.08464	4.192906	1875	9375
102	cell_132	spot_50	0.8616818968261185	0.544913349861218	0.8300050421296284	0.9381940923495727	0.6592646634889933	0.9103011494635148	ExcitatoryL4	2.5143495	4.2616415	1875	9375
103	cell_164	spot_50	0.8616818968261185	0.544913349861218	0.8300050421296284	0.9381940923495727	0.6592646634889933	0.9103011494635148	Endo	2.02199	4.393459	1875	9375
104	cell_767	spot_50	0.8616818968261185	0.544913349861218	0.8300050421296284	0.9381940923495727	0.6592646634889933	0.9103011494635148	Endo	2.358493	4.2730403	1875	9375
105	cell_1277	spot_62	0.8791443787608767	-0.0034841571424611677	0.7908815251705429	0.9521445684702128	0.7090988404132471	0.9278399956645162	ExcitatoryL6	7.003933	2.954732	2625	4125
106	cell_1219	spot_62	0.8791443787608767	-0.0034841571424611677	0.7908815251705429	0.9521445684702128	0.7090988404132471	0.9278399956645162	ExcitatoryL6	7.432646	3.006359	2625	4125
107	cell_647	spot_62	0.8791443787608767	-0.0034841571424611677	0.7908815251705429	0.9521445684702128	0.7090988404132471	0.9278399956645162	ExcitatoryL6	7.8022933	2.5365162	2625	4125
108	cell_528	spot_62	0.8791443787608767	-0.0034841571424611677	0.7908815251705429	0.9521445684702128	0.7090988404132471	0.9278399956645162	ExcitatoryL6	7.8559523	2.6672437	2625	4125
109	cell_988	spot_62	0.8791443787608767	-0.0034841571424611677	0.7908815251705429	0.9521445684702128	0.7090988404132471	0.9278399956645162	Other	7.3659396	2.6731405	2625	4125
110	cell_603	spot_62	0.8791443787608767	-0.0034841571424611677	0.7908815251705429	0.9521445684702128	0.7090988404132471	0.9278399956645162	Other	7.491988	2.8062272	2625	4125
111	cell_622	spot_62	0.8791443787608767	-0.0034841571424611677	0.7908815251705429	0.9521445684702128	0.7090988404132471	0.9278399956645162	ExcitatoryL5	7.5467005	2.8150506	2625	4125
112	cell_566	spot_62	0.8791443787608767	-0.0034841571424611677	0.7908815251705429	0.9521445684702128	0.7090988404132471	0.9278399956645162	Astro	6.951937	2.977648	2625	4125
113	cell_1414	spot_34	0.8538424115029661	0.710764712006581	0.8395346415533276	0.95314431519696	0.8767272096205145	0.9455026046393155	Endo	0.3173557	4.7790527	1125	11625
114	cell_33	spot_34	0.8538424115029661	0.710764712006581	0.8395346415533276	0.95314431519696	0.8767272096205145	0.9455026046393155	Endo	0.26098233	4.7337255	1125	11625
115	cell_157	spot_34	0.8538424115029661	0.710764712006581	0.8395346415533276	0.95314431519696	0.8767272096205145	0.9455026046393155	Endo	0.068624645	4.9325733	1125	11625
116	cell_319	spot_34	0.8538424115029661	0.710764712006581	0.8395346415533276	0.95314431519696	0.8767272096205145	0.9455026046393155	Endo	0.64553183	5.0741043	1125	11625
117	cell_54	spot_34	0.8538424115029661	0.710764712006581	0.8395346415533276	0.95314431519696	0.8767272096205145	0.9455026046393155	ExcitatoryL2and3	0.55508024	4.9455194	1125	11625
118	cell_465	spot_34	0.8538424115029661	0.710764712006581	0.8395346415533276	0.95314431519696	0.8767272096205145	0.9455026046393155	ExcitatoryL2and3	0.47928226	5.0008183	1125	11625
119	cell_70	spot_34	0.8538424115029661	0.710764712006581	0.8395346415533276	0.95314431519696	0.8767272096205145	0.9455026046393155	ExcitatoryL2and3	0.610586	4.9234138	1125	11625
120	cell_280	spot_34	0.8538424115029661	0.710764712006581	0.8395346415533276	0.95314431519696	0.8767272096205145	0.9455026046393155	ExcitatoryL2and3	0.6352651	4.963636	1125	11625
121	cell_235	spot_34	0.8538424115029661	0.710764712006581	0.8395346415533276	0.95314431519696	0.8767272096205145	0.9455026046393155	ExcitatoryL2and3	0.73930925	4.932613	1125	11625
122	cell_145	spot_34	0.8538424115029661	0.710764712006581	0.8395346415533276	0.95314431519696	0.8767272096205145	0.9455026046393155	ExcitatoryL2and3	0.7211305	4.6649065	1125	11625
123	cell_1465	spot_34	0.8538424115029661	0.710764712006581	0.8395346415533276	0.95314431519696	0.8767272096205145	0.9455026046393155	Astro	0.39044094	4.6987934	1125	11625
124	cell_267	spot_184	0.8995739392611426	0.2986265473942878	0.8394792000744571	0.9378291227326591	0.6385338085581266	0.9078995913152059	Vip	1.6868371	1.1138862	7125	10125
125	cell_857	spot_184	0.8995739392611426	0.2986265473942878	0.8394792000744571	0.9378291227326591	0.6385338085581266	0.9078995913152059	Other	1.231055	1.2185614	7125	10125
126	cell_1000	spot_184	0.8995739392611426	0.2986265473942878	0.8394792000744571	0.9378291227326591	0.6385338085581266	0.9078995913152059	Other	1.693698	1.1025571	7125	10125
127	cell_616	spot_184	0.8995739392611426	0.2986265473942878	0.8394792000744571	0.9378291227326591	0.6385338085581266	0.9078995913152059	ExcitatoryL2and3	1.2733133	1.1368902	7125	10125
128	cell_610	spot_184	0.8995739392611426	0.2986265473942878	0.8394792000744571	0.9378291227326591	0.6385338085581266	0.9078995913152059	ExcitatoryL2and3	1.9137793	0.9783228	7125	10125
129	cell_1511	spot_184	0.8995739392611426	0.2986265473942878	0.8394792000744571	0.9378291227326591	0.6385338085581266	0.9078995913152059	ExcitatoryL2and3	1.4541657	1.1759784	7125	10125
130	cell_1441	spot_184	0.8995739392611426	0.2986265473942878	0.8394792000744571	0.9378291227326591	0.6385338085581266	0.9078995913152059	ExcitatoryL2and3	1.5484723	1.1437644	7125	10125
131	cell_1492	spot_184	0.8995739392611426	0.2986265473942878	0.8394792000744571	0.9378291227326591	0.6385338085581266	0.9078995913152059	ExcitatoryL2and3	1.3097377	0.9710406	7125	10125
132	cell_983	spot_184	0.8995739392611426	0.2986265473942878	0.8394792000744571	0.9378291227326591	0.6385338085581266	0.9078995913152059	ExcitatoryL2and3	1.6573693	1.0451536	7125	10125
133	cell_654	spot_145	0.9179590998829852	0.6246901935942608	0.8886322092541128	0.9579500939020823	0.8350132693914293	0.945656411451017	Pvalb	1.9696152	1.5626637	5625	9375
134	cell_1125	spot_145	0.9179590998829852	0.6246901935942608	0.8886322092541128	0.9579500939020823	0.8350132693914293	0.945656411451017	ExcitatoryL4	2.1074011	1.7175194	5625	9375
135	cell_821	spot_145	0.9179590998829852	0.6246901935942608	0.8886322092541128	0.9579500939020823	0.8350132693914293	0.945656411451017	ExcitatoryL2and3	2.1260958	1.4254156	5625	9375
136	cell_954	spot_145	0.9179590998829852	0.6246901935942608	0.8886322092541128	0.9579500939020823	0.8350132693914293	0.945656411451017	ExcitatoryL2and3	1.8880596	1.5262647	5625	9375
137	cell_1129	spot_145	0.9179590998829852	0.6246901935942608	0.8886322092541128	0.9579500939020823	0.8350132693914293	0.945656411451017	ExcitatoryL2and3	2.0710187	1.6409241	5625	9375
138	cell_1030	spot_145	0.9179590998829852	0.6246901935942608	0.8886322092541128	0.9579500939020823	0.8350132693914293	0.945656411451017	ExcitatoryL2and3	2.1496	1.3696946	5625	9375
139	cell_359	spot_145	0.9179590998829852	0.6246901935942608	0.8886322092541128	0.9579500939020823	0.8350132693914293	0.945656411451017	ExcitatoryL2and3	1.7733996	1.7414838	5625	9375
140	cell_1185	spot_145	0.9179590998829852	0.6246901935942608	0.8886322092541128	0.9579500939020823	0.8350132693914293	0.945656411451017	ExcitatoryL2and3	2.3416162	1.6396494	5625	9375
141	cell_1431	spot_145	0.9179590998829852	0.6246901935942608	0.8886322092541128	0.9579500939020823	0.8350132693914293	0.945656411451017	Astro	2.104789	1.6710104	5625	9375
142	cell_1147	spot_145	0.9179590998829852	0.6246901935942608	0.8886322092541128	0.9579500939020823	0.8350132693914293	0.945656411451017	Astro	2.0403817	1.5713427	5625	9375
143	cell_1289	spot_145	0.9179590998829852	0.6246901935942608	0.8886322092541128	0.9579500939020823	0.8350132693914293	0.945656411451017	Astro	2.10154	1.5037378	5625	9375
144	cell_445	spot_109	0.8824584945023379	0.5716335778421952	0.8513760028363238	0.9628523177876015	0.7707420064439906	0.9436412866532404	Vip	1.287381	2.7173922	4125	10875
145	cell_851	spot_109	0.8824584945023379	0.5716335778421952	0.8513760028363238	0.9628523177876015	0.7707420064439906	0.9436412866532404	Vip	0.9365402	2.5630538	4125	10875
146	cell_1255	spot_109	0.8824584945023379	0.5716335778421952	0.8513760028363238	0.9628523177876015	0.7707420064439906	0.9436412866532404	ExcitatoryL2and3	1.1844066	2.543602	4125	10875
147	cell_565	spot_109	0.8824584945023379	0.5716335778421952	0.8513760028363238	0.9628523177876015	0.7707420064439906	0.9436412866532404	ExcitatoryL2and3	0.95383996	2.7164035	4125	10875
148	cell_973	spot_109	0.8824584945023379	0.5716335778421952	0.8513760028363238	0.9628523177876015	0.7707420064439906	0.9436412866532404	ExcitatoryL2and3	1.2110264	2.5622544	4125	10875
149	cell_812	spot_109	0.8824584945023379	0.5716335778421952	0.8513760028363238	0.9628523177876015	0.7707420064439906	0.9436412866532404	ExcitatoryL2and3	1.0582935	2.5043304	4125	10875
150	cell_403	spot_109	0.8824584945023379	0.5716335778421952	0.8513760028363238	0.9628523177876015	0.7707420064439906	0.9436412866532404	ExcitatoryL2and3	0.8450736	2.6500869	4125	10875
151	cell_867	spot_109	0.8824584945023379	0.5716335778421952	0.8513760028363238	0.9628523177876015	0.7707420064439906	0.9436412866532404	ExcitatoryL2and3	1.3244104	2.6913638	4125	10875
